episode: 0, reward: 299.3232168860373, avg: 299.3232168860373
episode: 1, reward: 257.6178860072927, avg: 278.470551446665
episode: 2, reward: 222.64949825540586, avg: 259.8635337162453
episode: 3, reward: 219.3035710871695, avg: 249.72354305897636
episode: 4, reward: 259.75131089313754, avg: 251.7290966258086
episode: 5, reward: 233.22935573113637, avg: 248.64580647669655
episode: 6, reward: 233.62192327169575, avg: 246.49953744741075
episode: 7, reward: 275.7651728953346, avg: 250.15774187840123
episode: 8, reward: 262.8890095155582, avg: 251.5723271714187
episode: 9, reward: 291.0705640241242, avg: 255.52215085668922
episode: 10, reward: 278.8247523158925, avg: 257.64056917116227
episode: 11, reward: 273.259420558608, avg: 258.94214012011605
episode: 12, reward: 257.3280174233154, avg: 258.8179768357468
episode: 13, reward: 244.94806997283771, avg: 257.82726920268186
episode: 14, reward: 219.99166666638885, avg: 255.30489570026234
episode: 15, reward: 287.443715541561, avg: 257.3135719403435
episode: 16, reward: 202.66312505565656, avg: 254.098839770656
episode: 17, reward: 188.53221452593016, avg: 250.45624947928232
episode: 18, reward: 218.73114609961294, avg: 248.78650719614186
episode: 19, reward: 283.6891374922959, avg: 250.53163871094958
episode: 20, reward: 211.07435904401223, avg: 248.6527206315716
episode: 21, reward: 277.5748472639559, avg: 249.96736275122547
episode: 22, reward: 149.2705190350831, avg: 245.5892391113932
episode: 23, reward: 106.21943982867907, avg: 239.7821641412801
episode: 24, reward: 200.75177038398215, avg: 238.22094839098818
episode: 25, reward: 224.1755254135923, avg: 237.6807398149345
episode: 26, reward: 288.2178423206003, avg: 239.5524843521814
episode: 27, reward: 259.77309720707285, avg: 240.27464909699896
episode: 28, reward: 235.37397602439833, avg: 240.10566037035755
episode: 29, reward: 246.77732391241224, avg: 240.3280491550927
episode: 30, reward: 82.16216652709998, avg: 235.2259239090284
episode: 31, reward: 268.8157383915715, avg: 236.2756056116079
episode: 32, reward: 273.6176294457455, avg: 237.40718209143023
episode: 33, reward: 199.16442660040047, avg: 236.28239516522348
episode: 34, reward: 224.36706445657603, avg: 235.94195714497639
episode: 35, reward: 222.01212062625797, avg: 235.55501724167866
episode: 36, reward: 239.461669354131, avg: 235.66060243390706
episode: 37, reward: 269.52430124512364, avg: 236.55175240262326
episode: 38, reward: 270.9988029292485, avg: 237.4350101084342
episode: 39, reward: 263.8549208239374, avg: 238.0955078763218
episode: 40, reward: 289.0592344243013, avg: 239.3385255970042
episode: 41, reward: 259.7124479534207, avg: 239.8236189864427
episode: 42, reward: 93.69239182409787, avg: 236.42521835476026
episode: 43, reward: 260.40220498835674, avg: 236.9701498691602
episode: 44, reward: 290.0510793130133, avg: 238.14972607902357
